,Forecasted Load,Actual Load
2022-01-04 16:45:00+01:00,68180.0,69897.0
2022-01-04 17:00:00+01:00,68895.0,70100.0
2022-01-04 17:15:00+01:00,69342.0,70726.0
2022-01-04 17:30:00+01:00,69480.0,71252.0
2022-01-04 17:45:00+01:00,69529.0,71299.0
2022-01-04 18:00:00+01:00,69560.0,70762.0
2022-01-04 18:15:00+01:00,69460.0,70682.0
2022-01-04 18:30:00+01:00,69102.0,70498.0
2022-01-04 18:45:00+01:00,69170.0,70209.0
2022-01-04 19:00:00+01:00,68970.0,69996.0
2022-01-04 19:15:00+01:00,68474.0,69299.0
2022-01-04 19:30:00+01:00,67973.0,68891.0
2022-01-04 19:45:00+01:00,67567.0,68102.0
2022-01-04 20:00:00+01:00,66717.0,66909.0
2022-01-04 20:15:00+01:00,66354.0,65713.0
2022-01-04 20:30:00+01:00,65477.0,64826.0
2022-01-04 20:45:00+01:00,64581.0,63760.0
2022-01-04 21:00:00+01:00,64364.0,63348.0
2022-01-04 21:15:00+01:00,63924.0,62518.0
2022-01-04 21:30:00+01:00,63191.0,61760.0
2022-01-04 21:45:00+01:00,62565.0,60906.0
2022-01-04 22:00:00+01:00,62418.0,60457.0
2022-01-04 22:15:00+01:00,61823.0,59649.0
2022-01-04 22:30:00+01:00,60813.0,58702.0
2022-01-04 22:45:00+01:00,59922.0,57907.0
2022-01-04 23:00:00+01:00,58630.0,57133.0
2022-01-04 23:15:00+01:00,57831.0,55910.0
2022-01-04 23:30:00+01:00,57101.0,55072.0
2022-01-04 23:45:00+01:00,56572.0,54321.0
2022-01-05 00:00:00+01:00,55357.0,53754.0
2022-01-05 00:15:00+01:00,54723.0,53336.0
2022-01-05 00:30:00+01:00,54207.0,52603.0
2022-01-05 00:45:00+01:00,53692.0,52088.0
2022-01-05 01:00:00+01:00,53412.0,51804.0
2022-01-05 01:15:00+01:00,53145.0,51105.0
2022-01-05 01:30:00+01:00,52927.0,50689.0
2022-01-05 01:45:00+01:00,52925.0,50388.0
2022-01-05 02:00:00+01:00,52803.0,50063.0
2022-01-05 02:15:00+01:00,52808.0,49879.0
2022-01-05 02:30:00+01:00,52754.0,50076.0
2022-01-05 02:45:00+01:00,52746.0,50297.0
2022-01-05 03:00:00+01:00,52757.0,50690.0
2022-01-05 03:15:00+01:00,52977.0,50975.0
2022-01-05 03:30:00+01:00,53238.0,51327.0
2022-01-05 03:45:00+01:00,53368.0,51316.0
2022-01-05 04:00:00+01:00,53288.0,52097.0
2022-01-05 04:15:00+01:00,53234.0,52421.0
2022-01-05 04:30:00+01:00,53718.0,52797.0
2022-01-05 04:45:00+01:00,54216.0,53480.0
2022-01-05 05:00:00+01:00,54737.0,54645.0
2022-01-05 05:15:00+01:00,55263.0,55263.0
2022-01-05 05:30:00+01:00,55997.0,56566.0
2022-01-05 05:45:00+01:00,56858.0,57639.0
2022-01-05 06:00:00+01:00,58240.0,59744.0
2022-01-05 06:15:00+01:00,59433.0,61523.0
2022-01-05 06:30:00+01:00,60508.0,62774.0
2022-01-05 06:45:00+01:00,61457.0,63865.0
2022-01-05 07:00:00+01:00,62453.0,65820.0
2022-01-05 07:15:00+01:00,65608.0,67099.0
2022-01-05 07:30:00+01:00,66559.0,68292.0
2022-01-05 07:45:00+01:00,67567.0,69281.0
2022-01-05 08:00:00+01:00,69255.0,70382.0
2022-01-05 08:15:00+01:00,69115.0,70830.0
2022-01-05 08:30:00+01:00,69610.0,71153.0
2022-01-05 08:45:00+01:00,69965.0,71493.0
2022-01-05 09:00:00+01:00,70262.0,71977.0
2022-01-05 09:15:00+01:00,70692.0,72323.0
2022-01-05 09:30:00+01:00,71225.0,72567.0
2022-01-05 09:45:00+01:00,71502.0,72836.0
2022-01-05 10:00:00+01:00,71340.0,73018.0
2022-01-05 10:15:00+01:00,71764.0,73215.0
2022-01-05 10:30:00+01:00,72189.0,73807.0
2022-01-05 10:45:00+01:00,72651.0,74099.0
2022-01-05 11:00:00+01:00,72719.0,74876.0
2022-01-05 11:15:00+01:00,73438.0,75100.0
2022-01-05 11:30:00+01:00,73702.0,75373.0
2022-01-05 11:45:00+01:00,73721.0,75236.0
2022-01-05 12:00:00+01:00,73797.0,75163.0
2022-01-05 12:15:00+01:00,73586.0,74903.0
2022-01-05 12:30:00+01:00,73532.0,74886.0
2022-01-05 12:45:00+01:00,73317.0,74924.0
2022-01-05 13:00:00+01:00,73386.0,75224.0
2022-01-05 13:15:00+01:00,72989.0,74690.0
2022-01-05 13:30:00+01:00,72234.0,73872.0
2022-01-05 13:45:00+01:00,71730.0,73143.0
2022-01-05 14:00:00+01:00,71806.0,73068.0
2022-01-05 14:15:00+01:00,71498.0,72994.0
2022-01-05 14:30:00+01:00,71240.0,72624.0
2022-01-05 14:45:00+01:00,70853.0,72281.0
2022-01-05 15:00:00+01:00,70806.0,72293.0
2022-01-05 15:15:00+01:00,70441.0,71805.0
2022-01-05 15:30:00+01:00,69967.0,71747.0
2022-01-05 15:45:00+01:00,69706.0,71852.0
2022-01-05 16:00:00+01:00,70192.0,71965.0
2022-01-05 16:15:00+01:00,70173.0,72349.0
2022-01-05 16:30:00+01:00,70455.0,72653.0
2022-01-05 16:45:00+01:00,71162.0,73210.0
2022-01-05 17:00:00+01:00,72018.0,74058.0
2022-01-05 17:15:00+01:00,72167.0,74435.0
2022-01-05 17:30:00+01:00,72274.0,74692.0
2022-01-05 17:45:00+01:00,72237.0,75050.0
2022-01-05 18:00:00+01:00,72320.0,74463.0
2022-01-05 18:15:00+01:00,71953.0,74440.0
2022-01-05 18:30:00+01:00,71470.0,74208.0
2022-01-05 18:45:00+01:00,71155.0,73490.0
2022-01-05 19:00:00+01:00,70660.0,73081.0
2022-01-05 19:15:00+01:00,70130.0,72278.0
2022-01-05 19:30:00+01:00,69425.0,72043.0
2022-01-05 19:45:00+01:00,68914.0,71148.0
2022-01-05 20:00:00+01:00,67349.0,70020.0
2022-01-05 20:15:00+01:00,66613.0,68728.0
2022-01-05 20:30:00+01:00,65654.0,67246.0
2022-01-05 20:45:00+01:00,65152.0,66572.0
2022-01-05 21:00:00+01:00,64494.0,65872.0
2022-01-05 21:15:00+01:00,64028.0,65384.0
2022-01-05 21:30:00+01:00,63489.0,64466.0
2022-01-05 21:45:00+01:00,62752.0,63261.0
2022-01-05 22:00:00+01:00,63018.0,62808.0
2022-01-05 22:15:00+01:00,62320.0,62093.0
2022-01-05 22:30:00+01:00,61271.0,61211.0
2022-01-05 22:45:00+01:00,60512.0,60208.0
2022-01-05 23:00:00+01:00,59401.0,59507.0
2022-01-05 23:15:00+01:00,58588.0,58744.0
2022-01-05 23:30:00+01:00,57767.0,57468.0
2022-01-05 23:45:00+01:00,57144.0,56361.0
2022-01-06 00:00:00+01:00,53975.0,55876.0
2022-01-06 00:15:00+01:00,53249.0,55513.0
2022-01-06 00:30:00+01:00,52547.0,54944.0
2022-01-06 00:45:00+01:00,52211.0,54888.0
2022-01-06 01:00:00+01:00,51565.0,54705.0
2022-01-06 01:15:00+01:00,51074.0,54186.0
2022-01-06 01:30:00+01:00,50893.0,54090.0
2022-01-06 01:45:00+01:00,50497.0,53608.0
2022-01-06 02:00:00+01:00,50178.0,53180.0
2022-01-06 02:15:00+01:00,50092.0,53217.0
2022-01-06 02:30:00+01:00,49862.0,52955.0
2022-01-06 02:45:00+01:00,49927.0,52911.0
2022-01-06 03:00:00+01:00,49973.0,52554.0
2022-01-06 03:15:00+01:00,50092.0,52612.0
2022-01-06 03:30:00+01:00,50232.0,52601.0
2022-01-06 03:45:00+01:00,50251.0,52514.0
2022-01-06 04:00:00+01:00,50692.0,52631.0
2022-01-06 04:15:00+01:00,50667.0,52987.0
2022-01-06 04:30:00+01:00,50856.0,53522.0
2022-01-06 04:45:00+01:00,51176.0,53656.0
2022-01-06 05:00:00+01:00,52075.0,54244.0
2022-01-06 05:15:00+01:00,52198.0,54457.0
2022-01-06 05:30:00+01:00,52543.0,54975.0
2022-01-06 05:45:00+01:00,53476.0,55771.0
2022-01-06 06:00:00+01:00,54918.0,57044.0
2022-01-06 06:15:00+01:00,56353.0,58084.0
2022-01-06 06:30:00+01:00,57622.0,59160.0
2022-01-06 06:45:00+01:00,58543.0,59985.0
2022-01-06 07:00:00+01:00,60214.0,61346.0
2022-01-06 07:15:00+01:00,60702.0,62647.0
2022-01-06 07:30:00+01:00,61517.0,63685.0
2022-01-06 07:45:00+01:00,62080.0,64438.0
2022-01-06 08:00:00+01:00,63281.0,64924.0
2022-01-06 08:15:00+01:00,63829.0,65122.0
2022-01-06 08:30:00+01:00,64199.0,65283.0
2022-01-06 08:45:00+01:00,64261.0,65681.0
