,Actual Load
2022-01-04 13:00:00+01:00,70114.0
2022-01-04 13:15:00+01:00,69515.0
2022-01-04 13:30:00+01:00,69199.0
2022-01-04 13:45:00+01:00,68872.0
2022-01-04 14:00:00+01:00,69003.0
2022-01-04 14:15:00+01:00,68766.0
2022-01-04 14:30:00+01:00,68860.0
2022-01-04 14:45:00+01:00,68732.0
2022-01-04 15:00:00+01:00,68499.0
2022-01-04 15:15:00+01:00,68483.0
2022-01-04 15:30:00+01:00,68494.0
2022-01-04 15:45:00+01:00,68747.0
2022-01-04 16:00:00+01:00,69009.0
2022-01-04 16:15:00+01:00,69209.0
2022-01-04 16:30:00+01:00,69364.0
2022-01-04 16:45:00+01:00,69897.0
2022-01-04 17:00:00+01:00,70100.0
2022-01-04 17:15:00+01:00,70726.0
2022-01-04 17:30:00+01:00,71252.0
2022-01-04 17:45:00+01:00,71299.0
2022-01-04 18:00:00+01:00,70762.0
2022-01-04 18:15:00+01:00,70682.0
2022-01-04 18:30:00+01:00,70498.0
2022-01-04 18:45:00+01:00,70209.0
2022-01-04 19:00:00+01:00,69996.0
2022-01-04 19:15:00+01:00,69299.0
2022-01-04 19:30:00+01:00,68891.0
2022-01-04 19:45:00+01:00,68102.0
2022-01-04 20:00:00+01:00,66909.0
2022-01-04 20:15:00+01:00,65713.0
2022-01-04 20:30:00+01:00,64826.0
2022-01-04 20:45:00+01:00,63760.0
2022-01-04 21:00:00+01:00,63348.0
2022-01-04 21:15:00+01:00,62518.0
2022-01-04 21:30:00+01:00,61760.0
2022-01-04 21:45:00+01:00,60906.0
2022-01-04 22:00:00+01:00,60457.0
2022-01-04 22:15:00+01:00,59649.0
2022-01-04 22:30:00+01:00,58702.0
2022-01-04 22:45:00+01:00,57907.0
2022-01-04 23:00:00+01:00,57133.0
2022-01-04 23:15:00+01:00,55910.0
2022-01-04 23:30:00+01:00,55072.0
2022-01-04 23:45:00+01:00,54321.0
2022-01-05 00:00:00+01:00,53754.0
2022-01-05 00:15:00+01:00,53336.0
2022-01-05 00:30:00+01:00,52603.0
2022-01-05 00:45:00+01:00,52088.0
2022-01-05 01:00:00+01:00,51804.0
2022-01-05 01:15:00+01:00,51105.0
2022-01-05 01:30:00+01:00,50689.0
2022-01-05 01:45:00+01:00,50388.0
2022-01-05 02:00:00+01:00,50063.0
2022-01-05 02:15:00+01:00,49879.0
2022-01-05 02:30:00+01:00,50076.0
2022-01-05 02:45:00+01:00,50297.0
2022-01-05 03:00:00+01:00,50690.0
2022-01-05 03:15:00+01:00,50975.0
2022-01-05 03:30:00+01:00,51327.0
2022-01-05 03:45:00+01:00,51316.0
2022-01-05 04:00:00+01:00,52097.0
2022-01-05 04:15:00+01:00,52421.0
2022-01-05 04:30:00+01:00,52797.0
2022-01-05 04:45:00+01:00,53480.0
2022-01-05 05:00:00+01:00,54645.0
2022-01-05 05:15:00+01:00,55263.0
2022-01-05 05:30:00+01:00,56566.0
2022-01-05 05:45:00+01:00,57639.0
2022-01-05 06:00:00+01:00,59744.0
2022-01-05 06:15:00+01:00,61523.0
2022-01-05 06:30:00+01:00,62774.0
2022-01-05 06:45:00+01:00,63865.0
2022-01-05 07:00:00+01:00,65820.0
2022-01-05 07:15:00+01:00,67099.0
2022-01-05 07:30:00+01:00,68292.0
2022-01-05 07:45:00+01:00,69281.0
2022-01-05 08:00:00+01:00,70382.0
2022-01-05 08:15:00+01:00,70830.0
2022-01-05 08:30:00+01:00,71153.0
2022-01-05 08:45:00+01:00,71493.0
2022-01-05 09:00:00+01:00,71977.0
2022-01-05 09:15:00+01:00,72323.0
2022-01-05 09:30:00+01:00,72567.0
2022-01-05 09:45:00+01:00,72836.0
2022-01-05 10:00:00+01:00,73018.0
2022-01-05 10:15:00+01:00,73215.0
2022-01-05 10:30:00+01:00,73807.0
2022-01-05 10:45:00+01:00,74099.0
2022-01-05 11:00:00+01:00,74876.0
2022-01-05 11:15:00+01:00,75100.0
2022-01-05 11:30:00+01:00,75373.0
2022-01-05 11:45:00+01:00,75236.0
2022-01-05 12:00:00+01:00,75163.0
2022-01-05 12:15:00+01:00,74903.0
2022-01-05 12:30:00+01:00,74886.0
2022-01-05 12:45:00+01:00,74924.0
2022-01-05 13:00:00+01:00,75224.0
2022-01-05 13:15:00+01:00,74690.0
2022-01-05 13:30:00+01:00,73872.0
2022-01-05 13:45:00+01:00,73143.0
2022-01-05 14:00:00+01:00,73068.0
2022-01-05 14:15:00+01:00,72994.0
2022-01-05 14:30:00+01:00,72624.0
2022-01-05 14:45:00+01:00,72281.0
2022-01-05 15:00:00+01:00,72293.0
2022-01-05 15:15:00+01:00,71805.0
2022-01-05 15:30:00+01:00,71747.0
2022-01-05 15:45:00+01:00,71852.0
2022-01-05 16:00:00+01:00,71965.0
2022-01-05 16:15:00+01:00,72349.0
2022-01-05 16:30:00+01:00,72653.0
2022-01-05 16:45:00+01:00,73210.0
2022-01-05 17:00:00+01:00,74058.0
2022-01-05 17:15:00+01:00,74435.0
2022-01-05 17:30:00+01:00,74692.0
2022-01-05 17:45:00+01:00,75050.0
2022-01-05 18:00:00+01:00,74463.0
2022-01-05 18:15:00+01:00,74440.0
2022-01-05 18:30:00+01:00,74208.0
2022-01-05 18:45:00+01:00,73490.0
2022-01-05 19:00:00+01:00,73081.0
2022-01-05 19:15:00+01:00,72278.0
2022-01-05 19:30:00+01:00,72043.0
2022-01-05 19:45:00+01:00,71148.0
2022-01-05 20:00:00+01:00,70020.0
2022-01-05 20:15:00+01:00,68728.0
2022-01-05 20:30:00+01:00,67246.0
2022-01-05 20:45:00+01:00,66572.0
2022-01-05 21:00:00+01:00,65872.0
2022-01-05 21:15:00+01:00,65384.0
2022-01-05 21:30:00+01:00,64466.0
2022-01-05 21:45:00+01:00,63261.0
2022-01-05 22:00:00+01:00,62808.0
2022-01-05 22:15:00+01:00,62093.0
2022-01-05 22:30:00+01:00,61211.0
2022-01-05 22:45:00+01:00,60208.0
2022-01-05 23:00:00+01:00,59507.0
2022-01-05 23:15:00+01:00,58744.0
2022-01-05 23:30:00+01:00,57468.0
2022-01-05 23:45:00+01:00,56361.0
2022-01-06 00:00:00+01:00,55876.0
2022-01-06 00:15:00+01:00,55513.0
2022-01-06 00:30:00+01:00,54944.0
2022-01-06 00:45:00+01:00,54888.0
2022-01-06 01:00:00+01:00,54705.0
2022-01-06 01:15:00+01:00,54186.0
