,Forecasted Load
2022-01-03 17:15:00+01:00,67652.0
2022-01-03 17:30:00+01:00,67782.0
2022-01-03 17:45:00+01:00,67750.0
2022-01-03 18:00:00+01:00,67721.0
2022-01-03 18:15:00+01:00,67601.0
2022-01-03 18:30:00+01:00,67435.0
2022-01-03 18:45:00+01:00,67465.0
2022-01-03 19:00:00+01:00,67433.0
2022-01-03 19:15:00+01:00,66966.0
2022-01-03 19:30:00+01:00,66568.0
2022-01-03 19:45:00+01:00,66241.0
2022-01-03 20:00:00+01:00,65582.0
2022-01-03 20:15:00+01:00,65105.0
2022-01-03 20:30:00+01:00,64105.0
2022-01-03 20:45:00+01:00,63327.0
2022-01-03 21:00:00+01:00,63188.0
2022-01-03 21:15:00+01:00,62721.0
2022-01-03 21:30:00+01:00,61943.0
2022-01-03 21:45:00+01:00,61306.0
2022-01-03 22:00:00+01:00,61180.0
2022-01-03 22:15:00+01:00,60464.0
2022-01-03 22:30:00+01:00,59351.0
2022-01-03 22:45:00+01:00,58538.0
2022-01-03 23:00:00+01:00,57336.0
2022-01-03 23:15:00+01:00,56516.0
2022-01-03 23:30:00+01:00,55789.0
2022-01-03 23:45:00+01:00,55395.0
2022-01-04 00:00:00+01:00,54698.0
2022-01-04 00:15:00+01:00,54039.0
2022-01-04 00:30:00+01:00,53562.0
2022-01-04 00:45:00+01:00,52811.0
2022-01-04 01:00:00+01:00,52209.0
2022-01-04 01:15:00+01:00,51877.0
2022-01-04 01:30:00+01:00,51632.0
2022-01-04 01:45:00+01:00,51352.0
2022-01-04 02:00:00+01:00,51089.0
2022-01-04 02:15:00+01:00,51128.0
2022-01-04 02:30:00+01:00,51045.0
2022-01-04 02:45:00+01:00,50983.0
2022-01-04 03:00:00+01:00,50908.0
2022-01-04 03:15:00+01:00,51162.0
2022-01-04 03:30:00+01:00,51352.0
2022-01-04 03:45:00+01:00,51492.0
2022-01-04 04:00:00+01:00,51948.0
2022-01-04 04:15:00+01:00,52173.0
2022-01-04 04:30:00+01:00,52426.0
2022-01-04 04:45:00+01:00,52994.0
2022-01-04 05:00:00+01:00,53811.0
2022-01-04 05:15:00+01:00,54379.0
2022-01-04 05:30:00+01:00,55279.0
2022-01-04 05:45:00+01:00,56296.0
2022-01-04 06:00:00+01:00,57763.0
2022-01-04 06:15:00+01:00,59055.0
2022-01-04 06:30:00+01:00,60092.0
2022-01-04 06:45:00+01:00,61046.0
2022-01-04 07:00:00+01:00,62352.0
2022-01-04 07:15:00+01:00,63370.0
2022-01-04 07:30:00+01:00,64352.0
2022-01-04 07:45:00+01:00,65046.0
2022-01-04 08:00:00+01:00,66174.0
2022-01-04 08:15:00+01:00,66659.0
2022-01-04 08:30:00+01:00,67033.0
2022-01-04 08:45:00+01:00,67522.0
2022-01-04 09:00:00+01:00,67506.0
2022-01-04 09:15:00+01:00,68039.0
2022-01-04 09:30:00+01:00,68566.0
2022-01-04 09:45:00+01:00,68538.0
2022-01-04 10:00:00+01:00,68147.0
2022-01-04 10:15:00+01:00,68300.0
2022-01-04 10:30:00+01:00,68430.0
2022-01-04 10:45:00+01:00,68816.0
2022-01-04 11:00:00+01:00,68969.0
2022-01-04 11:15:00+01:00,69367.0
2022-01-04 11:30:00+01:00,69771.0
2022-01-04 11:45:00+01:00,69900.0
2022-01-04 12:00:00+01:00,69946.0
2022-01-04 12:15:00+01:00,69733.0
2022-01-04 12:30:00+01:00,69812.0
2022-01-04 12:45:00+01:00,69850.0
2022-01-04 13:00:00+01:00,69694.0
2022-01-04 13:15:00+01:00,69141.0
2022-01-04 13:30:00+01:00,68600.0
2022-01-04 13:45:00+01:00,68190.0
2022-01-04 14:00:00+01:00,68010.0
2022-01-04 14:15:00+01:00,67882.0
2022-01-04 14:30:00+01:00,67572.0
2022-01-04 14:45:00+01:00,67180.0
2022-01-04 15:00:00+01:00,67034.0
2022-01-04 15:15:00+01:00,66737.0
2022-01-04 15:30:00+01:00,66386.0
2022-01-04 15:45:00+01:00,66329.0
2022-01-04 16:00:00+01:00,66608.0
2022-01-04 16:15:00+01:00,66895.0
2022-01-04 16:30:00+01:00,67472.0
2022-01-04 16:45:00+01:00,68180.0
2022-01-04 17:00:00+01:00,68895.0
2022-01-04 17:15:00+01:00,69342.0
2022-01-04 17:30:00+01:00,69480.0
2022-01-04 17:45:00+01:00,69529.0
2022-01-04 18:00:00+01:00,69560.0
2022-01-04 18:15:00+01:00,69460.0
2022-01-04 18:30:00+01:00,69102.0
2022-01-04 18:45:00+01:00,69170.0
2022-01-04 19:00:00+01:00,68970.0
2022-01-04 19:15:00+01:00,68474.0
2022-01-04 19:30:00+01:00,67973.0
2022-01-04 19:45:00+01:00,67567.0
2022-01-04 20:00:00+01:00,66717.0
2022-01-04 20:15:00+01:00,66354.0
2022-01-04 20:30:00+01:00,65477.0
2022-01-04 20:45:00+01:00,64581.0
